project_name,algorithm,file_id,f1,G,MCC
eclipse-2.0,ibea,eclipse-2.0_exp_83_train,0.380543634,0.64121202,0.296112954
eclipse-2.0,ibea,eclipse-2.0_exp_84_train,0.382754995,0.620308078,0.301162488
eclipse-2.0,ibea,eclipse-2.0_exp_85_train,0.392117231,0.63775312,0.310599404
eclipse-2.0,ibea,eclipse-2.0_exp_86_train,0.395452299,0.645892759,0.314003929
eclipse-2.0,ibea,eclipse-2.0_exp_87_train,0.385432473,0.631723056,0.302909181
eclipse-2.0,ibea,eclipse-2.0_exp_88_train,0.38254172,0.573415284,0.317388728
eclipse-2.0,ibea,eclipse-2.0_exp_89_train,0.353706112,0.547581696,0.28699158
eclipse-2.0,ibea,eclipse-2.0_exp_8_train,0.385138671,0.62346145,0.303698928
eclipse-2.0,ibea,eclipse-2.0_exp_90_train,0.385892116,0.626198187,0.304230477
eclipse-2.0,ibea,eclipse-2.0_exp_91_train,0.387131952,0.615430754,0.307873119
eclipse-2.0,ibea,eclipse-2.0_exp_92_train,0.386696231,0.663699814,0.303530796
eclipse-2.0,ibea,eclipse-2.0_exp_93_train,0.377535101,0.618381417,0.294746313
eclipse-2.0,ibea,eclipse-2.0_exp_94_train,0.373324166,0.706509488,0.297942058
eclipse-2.0,ibea,eclipse-2.0_exp_95_train,0.384503632,0.641151007,0.300937547
eclipse-2.0,ibea,eclipse-2.0_exp_96_train,0.396153846,0.653151131,0.314490588
eclipse-2.0,ibea,eclipse-2.0_exp_97_train,0.383149448,0.631746772,0.300045313
eclipse-2.0,ibea,eclipse-2.0_exp_98_train,0.384705882,0.595526332,0.31040116
eclipse-2.0,ibea,eclipse-2.0_exp_99_train,0.388434261,0.616393102,0.30937948
eclipse-2.0,ibea,eclipse-2.0_exp_9_train,0.388439306,0.602692329,0.313160995
camel-1.0,ibea,camel-1.0_exp_0_train,0.111587983,0.244071815,0.145096705
camel-1.0,ibea,camel-1.0_exp_10_train,0.133891213,0.269724531,0.141024703
camel-1.0,ibea,camel-1.0_exp_11_train,0.307167235,0.437408883,0.182329203
camel-1.0,ibea,camel-1.0_exp_12_train,0.194552529,0.33319158,0.142991364
camel-1.0,ibea,camel-1.0_exp_13_train,0.294670846,0.431865646,0.095352539
camel-1.0,ibea,camel-1.0_exp_14_train,0.148760331,0.285714286,0.148849075
camel-1.0,ibea,camel-1.0_exp_15_train,0.104347826,0.23510021,0.160991925
camel-1.0,ibea,camel-1.0_exp_16_train,0.23255814,0.366929405,0.204348679
camel-1.0,ibea,camel-1.0_exp_17_train,0.219858156,0.361530587,0.083437323
camel-1.0,ibea,camel-1.0_exp_18_train,0.209302326,0.346722997,0.163692921
camel-1.0,ibea,camel-1.0_exp_19_train,0.071111111,0.192204461,0.136671599
