file_id,algorithm,f1,G
camel-1.2_exp_22_train,MonoGP,0.3846341463414634,0.45470746833176
camel-1.2_exp_22_train,NSGA-II,0.497972972972973,0.5901781456987601
camel-1.2_exp_22_train,NSGA-III,0.4986842105263158,0.5857780030540222
camel-1.2_exp_22_train,RS,0.3807142857142858,0.500921316759187
camel-1.2_exp_22_train,SPEA2,0.4625000000000001,0.5754531735025562
camel-1.2_exp_23_train,IBEA,0.3942307692307693,0.5158550929700684
camel-1.2_exp_23_train,MonoGP,0.4527586206896552,0.5471620539379447
camel-1.2_exp_23_train,NSGA-II,0.4592105263157895,0.5497461669848761
camel-1.2_exp_23_train,NSGA-III,0.515566037735849,0.5909849671597713
camel-1.2_exp_23_train,RS,0.4672972972972973,0.4836976418819711
camel-1.2_exp_23_train,SPEA2,0.4710431654676259,0.5755715887289454
camel-1.2_exp_24_train,IBEA,0.4930851063829787,0.5930543889342672
camel-1.2_exp_24_train,MonoGP,0.3955319148936171,0.5006756904139754
camel-1.2_exp_24_train,NSGA-II,0.4842592592592593,0.5900627914480029
camel-1.2_exp_24_train,NSGA-III,0.6019230769230769,0.674942330206707
camel-1.2_exp_24_train,RS,0.446923076923077,0.5526702010858087
camel-1.2_exp_24_train,SPEA2,0.5353448275862068,0.6264974794057089
camel-1.2_exp_25_train,IBEA,0.5378205128205129,0.6161119171238565
camel-1.2_exp_25_train,MonoGP,0.4505194805194805,0.5342546513797211
camel-1.2_exp_25_train,NSGA-II,0.4711538461538462,0.5818115600712184
camel-1.2_exp_25_train,NSGA-III,0.448841059602649,0.5417343046388664
camel-1.2_exp_25_train,RS,0.3647368421052632,0.4584587153056217
camel-1.2_exp_25_train,SPEA2,0.5279940119760479,0.5885610375325568
camel-1.2_exp_26_train,IBEA,0.5287037037037038,0.6279047461959961
camel-1.2_exp_26_train,MonoGP,0.4060902255639097,0.5165310778310801
camel-1.2_exp_26_train,NSGA-II,0.5181506849315068,0.6103491586642044
camel-1.2_exp_26_train,NSGA-III,0.329,0.4617415198374604
camel-1.2_exp_26_train,RS,0.4245454545454544,0.4650866806752206
camel-1.2_exp_26_train,SPEA2,0.5125,0.5864750549117348
camel-1.2_exp_27_train,IBEA,0.4250000000000001,0.5214016542547031
camel-1.2_exp_27_train,MonoGP,0.4745871559633027,0.3487029259561781
camel-1.2_exp_27_train,NSGA-II,0.4387931034482759,0.5407240704279513
camel-1.2_exp_27_train,NSGA-III,0.5375,0.6099035178240704
camel-1.2_exp_27_train,RS,0.4342857142857143,0.4940002587656237
camel-1.2_exp_27_train,SPEA2,0.3630281690140845,0.4759876168016973
camel-1.2_exp_28_train,IBEA,0.5285971223021583,0.6254127220226294
camel-1.2_exp_28_train,MonoGP,0.4732258064516129,0.5536762511030365
camel-1.2_exp_28_train,NSGA-II,0.4907534246575342,0.5860104499046488
camel-1.2_exp_28_train,NSGA-III,0.5153225806451613,0.5968288782243485
camel-1.2_exp_28_train,RS,0.4614285714285714,0.5047140970464333
camel-1.2_exp_28_train,SPEA2,0.497972972972973,0.5901781456987601
camel-1.2_exp_29_train,IBEA,0.4925324675324675,0.577344770738994
camel-1.2_exp_29_train,MonoGP,0.4362576687116564,0.5060534718117776
camel-1.2_exp_29_train,NSGA-II,0.4427215189873418,0.5245434682410738
camel-1.2_exp_29_train,NSGA-III,0.4875,0.5629957008983779
camel-1.2_exp_29_train,RS,0.4263758389261746,0.5190301986787955
camel-1.2_exp_29_train,SPEA2,0.5891025641025641,0.6632015147293747
camel-1.2_exp_2_train,IBEA,0.4710431654676259,0.5755715887289454
camel-1.2_exp_2_train,MonoGP,0.338,0.4628431735774082
camel-1.2_exp_2_train,NSGA-II,0.4592105263157895,0.5497461669848761
camel-1.2_exp_2_train,NSGA-III,0.4897887323943661,0.5892546513797211
camel-1.2_exp_2_train,RS,0.4018181818181819,0.4421721560833964
camel-1.2_exp_2_train,SPEA2,0.4581210191082802,0.5407240704279513
camel-1.2_exp_30_train,IBEA,0.4694444444444445,0.577344770738994
camel-1.2_exp_30_train,MonoGP,0.4666442953020135,0.555237780267484
camel-1.2_exp_30_train,NSGA-II,0.4865384615384615,0.585429152007475
camel-1.2_exp_30_train,NSGA-III,0.5318493150684931,0.6224740397386893
camel-1.2_exp_30_train,RS,0.3033333333333333,0.4352178416144997
camel-1.2_exp_30_train,SPEA2,0.4892857142857143,0.5490002587656237
camel-1.2_exp_3_train,IBEA,0.4152439024390245,0.5376814239888739
camel-1.2_exp_3_train,MonoGP,0.3861073825503355,0.4825542550860149
camel-1.2_exp_3_train,NSGA-II,0.4616197183098592,0.5644477837037561
camel-1.2_exp_3_train,NSGA-III,0.4387931034482759,0.5407240704279513
camel-1.2_exp_3_train,RS,0.3142622950819672,0.4438260040755475
camel-1.2_exp_3_train,SPEA2,0.4282258064516129,0.5482532872400917
